End station,Start station
Серпуховско-Тимирязевская_Южная,Серпуховско-Тимирязевская_Пражская
Серпуховско-Тимирязевская_Пражская,Серпуховско-Тимирязевская_Улица_Академика_Янгеля
Серпуховско-Тимирязевская_Улица_Академика_Янгеля,Серпуховско-Тимирязевская_Аннино
Серпуховско-Тимирязевская_Аннино,Серпуховско-Тимирязевская_Бульвар_Дмитрия_Донского
Серпуховско-Тимирязевская_Бульвар_Дмитрия_Донского,Бутовская_Улица_Старокачаловская
Люблинская_Трубная,Люблинская_Сретенский_бульвар
Люблинская_Достоевская,Люблинская_Трубная
Люблинская_Сретенский_бульвар,Люблинская_Чкаловская
Люблинская_Чкаловская,Люблинская_Римская
Люблинская_Римская,Люблинская_Крестьянская_застава
Люблинская_Крестьянская_застава,Люблинская_Дубровка
Люблинская_Дубровка,Люблинская_Кожуховская
Люблинская_Кожуховская,Люблинская_Печатники
Люблинская_Печатники,Люблинская_Волжская
Люблинская_Волжская,Люблинская_Люблино
Люблинская_Люблино,Люблинская_Братиславская
Люблинская_Братиславская,Люблинская_Марьино
Люблинская_Марьино,Люблинская_Борисово
Каховская_Каширская,Каховская_Варшавская
Каховская_Варшавская,Каховская_Каховская
Бутовская_Улица_Старокачаловская,Бутовская_Улица_Скобелевская
Бутовская_Лесопарковая,Бутовская_Улица_Старокачаловская
Бутовская_Улица_Скобелевская,Бутовская_Бульвар_Адмирала_Ушакова
Бутовская_Бульвар_Адмирала_Ушакова,Бутовская_Улица_Горчакова
Бутовская_Улица_Горчакова,Бутовская_Бунинская_Аллея
Арбатско-Покровская_Мякинино,Арбатско-Покровская_Волоколамская
Арбатско-Покровская_Волоколамская,Арбатско-Покровская_Митино
Арбатско-Покровская_Митино,Арбатско-Покровская_Пятницкое_шоссе
Люблинская_Марьина_Роща,Люблинская_Достоевская
Люблинская_Борисово,Люблинская_Шипиловская
Люблинская_Шипиловская,Люблинская_Зябликово
Таганско-Краснопресненская_Лермонтовский_проспект,Таганско-Краснопресненская_Жулебино
Бутовская_Битцевский_парк,Бутовская_Лесопарковая
Калининская_Деловой_центр,Калининская_Парк_Победы
